school_name,school_type,address,homepage
가락고등학교,고등학교,서울특별시 송파구 송이로 42,http://garak.sen.hs.kr
가재울고등학교,고등학교,서울특별시 서대문구 수색로 100-35,http://www.gajaeul.hs.kr
강동고등학교,고등학교,서울특별시 강동구 구천면로 572,http://kangdong.sen.hs.kr
강서고등학교,고등학교,서울특별시 양천구 목동중앙남로 27,http://gangseo.sen.hs.kr
강서공업고등학교,고등학교,서울특별시 강서구 방화대로47길 9,https://gangseo-th.sen.hs.kr/
강일고등학교,고등학교,서울특별시 강동구 아리수로98길 40,http://www.gang-il.hs.kr
개포고등학교,고등학교,서울특별시 강남구 개포로 402,http://www.gaepo.hs.kr
건국대학교사범대학부속고등학교,고등학교,서울특별시 광진구 능동로 120,http://konkuk.sen.hs.kr
경기고등학교,고등학교,서울특별시 강남구 영동대로 643,http://kyunggi.hs.kr/
경기기계공업고등학교,고등학교,서울특별시 노원구 공릉로 264,http://www.ggmt.hs.kr
경기상업고등학교,고등학교,서울특별시 종로구 자하문로 136,http://ggc.sen.hs.kr
경기여자고등학교,고등학교,서울특별시 강남구 삼성로 29,http://www.kgg.hs.kr
경동고등학교,고등학교,서울특별시 성북구 보문로29길 49,www.kyungdong.hs.kr
경문고등학교,고등학교,서울특별시 동작구 동작대로 171,http://kyungmoon.sen.hs.kr
경복고등학교,고등학교,서울특별시 종로구 자하문로28가길 9,http://kyungbock.sen.hs.kr
경복비즈니스고등학교,고등학교,서울특별시 강서구 화곡로 379,http://kbb.sen.hs.kr
경복여자고등학교,고등학교,서울특별시 강서구 화곡로63길 40,http://www.kb.hs.kr
경성고등학교,고등학교,서울특별시 마포구 성미산로 111,http://www.gyeongseong.hs.kr
경신고등학교,고등학교,서울특별시 종로구 혜화로 74,http://kyungshin.hs.kr
경인고등학교,고등학교,서울특별시 구로구 경인로46길 31,http://kyeongin.sen.hs.kr
경일고등학교,고등학교,서울특별시 성동구 성수일로 27,http://kyungil.sen.hs.kr
경희고등학교,고등학교,서울특별시 동대문구 경희대로 26,http://www.kyungheeboy.hs.kr/
경희여자고등학교,고등학교,서울특별시 동대문구 경희대로 26,http://kyunghee.sen.hs.kr
계성고등학교,고등학교,서울특별시 성북구 길음로 63,gyeseong.sen.hs.kr
고려대학교사범대학부속고등학교,고등학교,서울특별시 성북구 정릉로 161,https://koreahi.sen.hs.kr
고명외식고등학교,고등학교,서울특별시 성북구 북악산로 870,http://komyung.sen.hs.kr
고척고등학교,고등학교,서울특별시 구로구 중앙로15길 162,http://gocheok.sen.hs.kr
공항고등학교,고등학교,서울특별시 강서구 방화대로34길 43,http://www.konghang.hs.kr
관악고등학교,고등학교,서울특별시 영등포구 영등포로6길 26,http://kwan-ak.hs.kr
광남고등학교,고등학교,서울특별시 광진구 아차산로70길 17-16,http://www.gwang-nam.hs.kr
광문고등학교,고등학교,서울특별시 강동구 동남로 968,http://gwangmun.sen.hs.kr
광성고등학교,고등학교,서울특별시 마포구 신수로8길 20,http://kwangsung.sen.hs.kr
광신고등학교,고등학교,서울특별시 관악구 광신길 141,http://www.kwangshin.hs.kr
광신방송예술고등학교,고등학교,서울특별시 관악구 광신길 141,http://ksmedia.sen.hs.kr
광양고등학교,고등학교,서울특별시 광진구 자양로3가길 31,http://www.gwangyang.hs.kr
광영고등학교,고등학교,서울특별시 양천구 남부순환로30길 17,http://www.ky.hs.kr
광영여자고등학교,고등학교,서울특별시 양천구 남부순환로30길 17,http://www.kyg.hs.kr
광운인공지능고등학교,고등학교,서울특별시 노원구 광운로1길 24,http://kwangwoon.sen.hs.kr
구로고등학교,고등학교,서울특별시 구로구 가마산로27길 45,http://guro.hs.kr
구암고등학교,고등학교,서울특별시 관악구 성현로 57,http://www.guahm.hs.kr
구일고등학교,고등학교,서울특별시 구로구 구일로 90-51,http://www.guil.hs.kr
구현고등학교,고등학교,서울특별시 구로구 경인로53가길 17,http://www.guhyun.hs.kr
국립국악고등학교,고등학교,서울특별시 강남구 개포로22길 65,http://gugak.sen.hs.kr
국립전통예술고등학교,고등학교,서울특별시 금천구 시흥대로38길 62,http://kugak-am.hs.kr
금옥여자고등학교,고등학교,서울특별시 양천구 신정로 213,http://www.geumok.hs.kr
금천고등학교,고등학교,서울특별시 금천구 시흥대로38길 26,http://Geumcheon.sen.hs.kr
금호고등학교,고등학교,서울특별시 성동구 금호로 118,http://geumho.sen.hs.kr
남강고등학교,고등학교,서울특별시 관악구 난곡로34길 80,http://www.namkang.hs.kr
노원고등학교,고등학교,서울특별시 노원구 노원로 586,http://nowon.sen.hs.kr
누원고등학교,고등학교,서울특별시 도봉구 마들로 849,http://www.noowon.hs.kr
단국대학교부속소프트웨어고등학교,고등학교,서울특별시 강남구 도곡로64길 21,http://dankook.sen.hs.kr
단국대학교사범대학부속고등학교,고등학교,서울특별시 강남구 도곡로64길 21,http://www.dan-kook.hs.kr
당곡고등학교,고등학교,서울특별시 관악구 봉천로21길 108,http://www.danggok.hs.kr
대경생활과학고등학교,고등학교,서울특별시 중구 매봉18길 111,http://daekyeong.sen.hs.kr
대광고등학교,고등학교,서울특별시 동대문구 안암로 6,http://www.dgh.hs.kr
대동세무고등학교,고등학교,서울특별시 종로구 계동길 84-10,http://daedong.sen.hs.kr
대성고등학교,고등학교,서울특별시 은평구 갈현로29길 51-24,http://dae-sung.sen.hs.kr
대신고등학교,고등학교,서울특별시 종로구 사직로 9,http://www.dae-shin.hs.kr/
대영고등학교,고등학교,서울특별시 영등포구 도림로86길 16,http://www.dy.hs.kr
대원고등학교,고등학교,서울특별시 광진구 용마산로22길 26,http://daewon.sen.hs.kr
대원여자고등학교,고등학교,서울특별시 광진구 용마산로22길 26,http://www.dwg.hs.kr
대원외국어고등학교,고등학교,서울특별시 광진구 용마산로22길 26,http://www.dwfl.hs.kr/
대일고등학교,고등학교,서울특별시 강서구 등촌로 105,https://daeil.sen.hs.kr/index.do
대일관광고등학교,고등학교,서울특별시 양천구 신정이펜1로 11,http://daeil-tour.sen.hs.kr
대일외국어고등학교,고등학교,서울특별시 성북구 서경로 116,www.daeil.or.kr
대진고등학교,고등학교,서울특별시 노원구 공릉로62가길 47,http://www.dae-jin.hs.kr
대진디자인고등학교,고등학교,서울특별시 강남구 광평로39길 93,http://www.daejindesign.hs.kr
대진여자고등학교,고등학교,서울특별시 노원구 공릉로 438,http://www.daejinw.hs.kr
덕성여자고등학교,고등학교,서울특별시 종로구 율곡로3길 50,http://duksung.sen.hs.kr
덕수고등학교,고등학교,서울특별시 송파구 위례북로 10,https://duksoo.sen.hs.kr/
덕원여자고등학교,고등학교,서울특별시 강서구 강서로45길 91-44,http://deokwon.sen.hs.kr
덕원예술고등학교,고등학교,서울특별시 강서구 강서로45길 91-44,http://www.dwarts.hs.kr
덕일전자공업고등학교,고등학교,서울특별시 구로구 서해안로21길 5-12,http://di.sen.hs.kr
도선고등학교,고등학교,서울특별시 성동구 마장로 156,http://dosun.sen.hs.kr
독산고등학교,고등학교,서울특별시 금천구 문성로 64,http://doksan.sen.hs.kr
동국대학교사범대학부속고등학교,고등학교,서울특별시 동대문구 장안벚꽃로 201,http://ddbk.sen.hs.kr
동국대학교사범대학부속여자고등학교,고등학교,서울특별시 광진구 광나루로36길 47,http://donggukgirls.hs.kr
동덕여자고등학교,고등학교,서울특별시 서초구 효령로2길 123-5,http://dongduk.sen.hs.kr
동명생활경영고등학교,고등학교,서울특별시 은평구 통일로 793,http://dmgcab.sen.hs.kr/
동명여자고등학교,고등학교,서울특별시 은평구 통일로 793,http://dongmyung.sen.hs.kr
동북고등학교,고등학교,서울특별시 강동구 강동대로 305,http://dongbuk.hs.kr
동성고등학교,고등학교,서울특별시 종로구 대학로 156,http://www.dongsung.hs.kr
동양고등학교,고등학교,서울특별시 강서구 허준로 50,http://www.dongyang.hs.kr
동일여자고등학교,고등학교,서울특별시 금천구 탑골로10길 45,http://www.dongilg.hs.kr
동작고등학교,고등학교,서울특별시 동작구 솔밭로 51,http://dongjak.sen.hs.kr
둔촌고등학교,고등학교,서울특별시 강동구 명일로 140,https://doonchon.sen.hs.kr/
등촌고등학교,고등학교,서울특별시 강서구 공항대로39길 115,http://www.dch.hs.kr
리라아트고등학교,고등학교,서울특별시 중구 소파로2길,http://www.lila.hs.kr
마포고등학교,고등학교,서울특별시 강서구 화곡로 403,http://www.mapo.hs.kr
면목고등학교,고등학교,서울특별시 중랑구 용마산로72길 36-14,http://mmhs.sen.hs.kr
명덕고등학교,고등학교,서울특별시 강서구 강서로47길 34-10,http://myungduk.sen.hs.kr
명덕여자고등학교,고등학교,서울특별시 강서구 강서로47길 34-10,mdgh.sen.hs.kr
명덕외국어고등학교,고등학교,서울특별시 강서구 강서로47길 34-10,http://www.mdfh.or.kr
명일여자고등학교,고등학교,서울특별시 강동구 명일로 350,http://www.myungil.hs.kr
명지고등학교,고등학교,서울특별시 서대문구 명지2길 56,http://www.myongjigo.net/
목동고등학교,고등학교,서울특별시 양천구 목동동로2길 68,https://mokdong.sen.hs.kr/
무학여자고등학교,고등학교,서울특별시 성동구 고산자로 197,http://www.muhak.hs.kr
문일고등학교,고등학교,서울특별시 금천구 시흥대로47길 45,http://moonil.hs.kr
문정고등학교,고등학교,서울특별시 송파구 송이로34길 62,http://mj.sen.hs.kr
문현고등학교,고등학교,서울특별시 송파구 충민로 115,http://munhyeon.sen.hs.kr
미래산업과학고등학교,고등학교,서울특별시 노원구 덕릉로82길 54,http://www.mist.hs.kr
미림마이스터고등학교,고등학교,서울특별시 관악구 호암로 546,http://www.e-mirim.hs.kr
미림여자고등학교,고등학교,서울특별시 관악구 호암로 546,http://www.mirim.hs.kr
반포고등학교,고등학교,서울특별시 서초구 고무래로 71,http://banpo.sen.hs.kr
방산고등학교,고등학교,서울특별시 송파구 오금로27길 18,http://bangsan.sen.hs.kr
배명고등학교,고등학교,서울특별시 송파구 삼학사로 11,http://www.bm.hs.kr
배문고등학교,고등학교,서울특별시 용산구 효창원로 258,http://www.baemoon.hs.kr
배재고등학교,고등학교,서울특별시 강동구 고덕로 227,www.paichai.hs.kr
배화여자고등학교,고등학교,서울특별시 종로구 필운대로1길 34,http://paiwha.sen.hs.kr/
백암고등학교,고등학교,서울특별시 양천구 신정로13길 16,http://baegam.sen.hs.kr
보성고등학교,고등학교,서울특별시 송파구 양재대로 1278,http://posung.sen.hs.kr
보성여자고등학교,고등학교,서울특별시 용산구 신흥로3가길 66,http://www.bosung.hs.kr
보인고등학교,고등학교,서울특별시 송파구 오금로49길 18,http://www.boin.hs.kr
불암고등학교,고등학교,서울특별시 노원구 중계로 155,http://www.buram.hs.kr
삼각산고등학교,고등학교,서울특별시 강북구 삼양로19길 40,http://samgaksan.hs.kr
삼성고등학교,고등학교,서울특별시 관악구 신림로 41,http://www.samsung.hs.kr
상계고등학교,고등학교,서울특별시 노원구 노해로 432,http://sanggye.sen.hs.kr
상명고등학교,고등학교,서울특별시 노원구 덕릉로 553,http://www.sangmyung.hs.kr
상명대학교사범대학부속여자고등학교,고등학교,서울특별시 종로구 홍지문2길 20,http://sangmyung-agh.hs.kr
상문고등학교,고등학교,서울특별시 서초구 명달로 45,http://www.sangmoon.hs.kr
상암고등학교,고등학교,서울특별시 마포구 월드컵북로 445,http://www.sangam.hs.kr
상일미디어고등학교,고등학교,서울특별시 강동구 천호대로219길 61,http://www.sangilmedia.hs.kr
상일여자고등학교,고등학교,서울특별시 강동구 천호대로219길 61,http://sangil.hs.kr
서라벌고등학교,고등학교,서울특별시 노원구 한글비석로5길 18,http://sorabol.sen.hs.kr
서문여자고등학교,고등학교,서울특별시 서초구 동광로12길 84,http://suhmoon.sen.hs.kr
서서울생활과학고등학교,고등학교,서울특별시 구로구 오리로 1355-10,http://ssls.sen.hs.kr
서울고등학교,고등학교,서울특별시 서초구 효령로 197,http://seoul.sen.hs.kr
서울공업고등학교,고등학교,서울특별시 동작구 대방동1길 46,http://seoul-th.sen.hs.kr
서울공연예술고등학교,고등학교,서울특별시 구로구 오리로22나길 16-26,http://sopa.hs.kr
서울과학고등학교,고등학교,서울특별시 종로구 혜화로 63,http://www.sshs.hs.kr
서울관광고등학교,고등학교,서울특별시 관악구 은천로15길 25,http://seoul-tour.sen.hs.kr
서울국제고등학교,고등학교,서울특별시 종로구 성균관로13길 40,http://sghs.sen.hs.kr
서울금융고등학교,고등학교,서울특별시 양천구 가로공원로61길 19,http://www.seoulfc.hs.kr
서울대학교사범대학부설고등학교,고등학교,서울특별시 성북구 월곡로 6,https://snu.sen.hs.kr/
서울도시과학기술고등학교,고등학교,서울특별시 성북구 종암로 196,http://www.sust.hs.kr
서울동구고등학교,고등학교,서울특별시 성북구 성북로8길 71,donggoo.sen.hs.kr
서울동산고등학교,고등학교,서울특별시 노원구 공릉로 257,http://seouldongsan.sen.hs.kr
서울디자인고등학교,고등학교,서울특별시 마포구 백범로 139,http://www.seodi.hs.kr
서울디지텍고등학교,고등학교,서울특별시 용산구 회나무로12길 27,http://www.sdh.hs.kr
서울로봇고등학교,고등학교,서울특별시 강남구 광평로20길 63,http://srobot.sen.hs.kr
서울매그넷고등학교,고등학교,서울특별시 금천구 탑골로10길 45,seoulmagnet.sen.hs.kr
서울문영여자고등학교,고등학교,서울특별시 관악구 관악로 85,http://www.moonyoung.seoul.kr
서울문화고등학교,고등학교,서울특별시 도봉구 마들로 598,http://seoulculture.sen.hs.kr
서울미술고등학교,고등학교,서울특별시 관악구 남부순환로247길 26,http://www.seoul-art.or.kr
서울방송고등학교,고등학교,서울특별시 성동구 동호로5길 131,https://seb.sen.hs.kr
서울세종고등학교,고등학교,서울특별시 강남구 광평로51길 36,http://www.seoulsejong.hs.kr/
서울신정고등학교,고등학교,서울특별시 강서구 등촌로13아길 20,http://shinjeong.sen.hs.kr
서울아이티고등학교,고등학교,서울특별시 노원구 섬밭로 299,http://www.seoulit.hs.kr
서울여자고등학교,고등학교,서울특별시 마포구 백범로25길 34,http://seoulgs.sen.hs.kr
서울여자상업고등학교,고등학교,서울특별시 관악구 관악로 85,http://sys.sen.hs.kr
서울영상고등학교,고등학교,서울특별시 양천구 목동로11길 46,youngsang.hs.kr
서울예술고등학교,고등학교,서울특별시 종로구 평창문화로 70,http://yego.or.kr
서울외국어고등학교,고등학교,서울특별시 도봉구 덕릉로66길 22,http://sfl.sen.hs.kr
서울웹툰애니메이션고등학교,고등학교,서울특별시 서초구 과천대로 852-23,https://swas.sen.hs.kr
서울의료보건고등학교,고등학교,서울특별시 중구 만리재로37길 30,http://smh.sen.hs.kr
서울인공지능고등학교,고등학교,서울특별시 송파구 양산로 21,https://seoulai.sen.hs.kr
서울정화고등학교,고등학교,서울특별시 동대문구 홍릉로15길 50,http://jeonghwa.sen.hs.kr
서울체육고등학교,고등학교,서울특별시 송파구 강동대로 232,http://seoul-ph.sen.hs.kr
